timestamp,username,result,user_type,session_id,attempt_number,time_since_last
2025-06-16T20:04:30.255356,normal_user_0,success,normal,dd3bceed-483f-4f1b-a6f4-602abeac8901,1,4.0
2025-06-16T20:04:29.255463,normal_user_1,success,normal,ecc05348-1955-48dc-ae8c-e6d2ab5be85d,1,3.0
2025-06-16T20:04:33.255463,normal_user_1,success,normal,ecc05348-1955-48dc-ae8c-e6d2ab5be85d,2,4.0
2025-06-16T20:04:29.255528,normal_user_2,failure,normal,9860f6a5-5195-4d99-ba7d-538f826b93ab,1,3.0
2025-06-16T20:04:31.255528,normal_user_2,success,normal,9860f6a5-5195-4d99-ba7d-538f826b93ab,2,2.0
2025-06-16T20:04:34.255528,normal_user_2,success,normal,9860f6a5-5195-4d99-ba7d-538f826b93ab,3,3.0
2025-06-16T20:04:31.255572,normal_user_3,success,normal,9f8d9224-ddd2-423c-ad86-f5c78caa2a93,1,5.0
2025-06-16T20:04:32.255572,normal_user_3,failure,normal,9f8d9224-ddd2-423c-ad86-f5c78caa2a93,2,1.0
2025-06-16T20:04:28.255601,normal_user_4,success,normal,2a405ef5-c78c-427e-b76b-4ad7de92d3fc,1,2.0
2025-06-16T20:04:30.255621,normal_user_5,success,normal,8b74c0b9-4e13-4c87-819d-bd2d1e2f8cc0,1,4.0
2025-06-16T20:04:34.255621,normal_user_5,success,normal,8b74c0b9-4e13-4c87-819d-bd2d1e2f8cc0,2,4.0
2025-06-16T20:04:31.255646,normal_user_6,success,normal,e58be49e-650f-4fea-a52b-9c1b1bcbc340,1,5.0
2025-06-16T20:04:36.255646,normal_user_6,success,normal,e58be49e-650f-4fea-a52b-9c1b1bcbc340,2,5.0
2025-06-16T20:04:30.255672,normal_user_7,success,normal,841a9b29-f6b2-439f-8fe6-79204447b370,1,4.0
2025-06-16T20:04:30.255688,normal_user_8,success,normal,3edb9466-cfb7-4ad3-8e03-df8f60615053,1,4.0
2025-06-16T20:04:31.255703,normal_user_9,success,normal,28a4fe33-8afd-4cf0-ab8c-4941b6bbff6e,1,5.0
2025-06-16T20:04:30.255718,normal_user_10,success,normal,4bb270d4-26f4-4b6b-9789-1060d3badc7d,1,4.0
2025-06-16T20:04:29.255733,normal_user_11,success,normal,80f8d0ca-ace2-47db-a785-71128c3f44ea,1,3.0
2025-06-16T20:04:30.255753,normal_user_12,success,normal,cd571393-cbc2-4dba-aeff-8a9a087143b8,1,4.0
2025-06-16T20:04:30.255768,normal_user_13,success,normal,c7e8dfb7-172b-4a59-9f11-afd8e9ee059f,1,4.0
2025-06-16T20:04:27.255783,normal_user_14,success,normal,0752c207-db62-4cb0-b63e-88db46af63a1,1,1.0
2025-06-16T20:04:28.255798,normal_user_15,success,normal,52f321c2-25cf-482a-93ad-b9d7eeea27cf,1,2.0
2025-06-16T20:04:28.255819,normal_user_16,success,normal,e03a7ff4-7c2a-43da-8493-21db49ac7eb5,1,2.0
2025-06-16T20:04:31.255841,normal_user_17,success,normal,1b4649ca-9780-4a89-8e0e-8411d456c1e2,1,5.0
2025-06-16T20:04:27.255862,normal_user_18,success,normal,02ca7409-6634-4ea2-99a3-2e00f4087a24,1,1.0
2025-06-16T20:04:30.255862,normal_user_18,success,normal,02ca7409-6634-4ea2-99a3-2e00f4087a24,2,3.0
2025-06-16T20:04:30.255890,normal_user_19,success,normal,04808ea1-a229-45b1-82c2-f44181b7b044,1,4.0
2025-06-16T20:04:31.255907,normal_user_20,success,normal,1f78e65e-b2c7-4c60-8df0-c5d203e8514a,1,5.0
2025-06-16T20:04:29.255920,normal_user_21,success,normal,c808e1c0-3685-4b29-a434-0a61982bf960,1,3.0
2025-06-16T20:04:28.255934,normal_user_22,success,normal,71dddcfd-28f1-4550-aa7f-a5f66433d707,1,2.0
2025-06-16T20:04:29.255951,normal_user_23,success,normal,39bf2cd5-f356-4c41-8f56-c8246b643fbf,1,3.0
2025-06-16T20:04:29.255968,normal_user_24,success,normal,628ccdb9-c32b-444c-a4b9-5f82415874a7,1,3.0
2025-06-16T20:04:27.255982,normal_user_25,success,normal,28ae1f8e-bb6d-413f-a5db-fc6093d6df55,1,1.0
2025-06-16T20:04:31.255982,normal_user_25,success,normal,28ae1f8e-bb6d-413f-a5db-fc6093d6df55,2,4.0
2025-06-16T20:04:30.256007,normal_user_26,success,normal,32508f07-f864-48a4-a3ff-1ff0c27a00e4,1,4.0
2025-06-16T20:04:27.256031,normal_user_27,success,normal,0986e925-cd5f-4fae-80da-68314c88dda4,1,1.0
2025-06-16T20:04:27.256051,normal_user_28,success,normal,7ef99034-ae1c-4eb8-b551-fe550a786ede,1,1.0
2025-06-16T20:04:28.256071,normal_user_29,success,normal,50a814ba-cd12-4ced-878b-ceecac72708d,1,2.0
2025-06-16T20:04:27.256094,brute_force_user_0,failure,brute_force,f6f2d304-09e4-4b4a-b7cb-08fcbaeb0ec7,1,1.0
2025-06-16T20:04:28.256094,brute_force_user_0,failure,brute_force,f6f2d304-09e4-4b4a-b7cb-08fcbaeb0ec7,2,1.0
2025-06-16T20:04:29.256094,brute_force_user_0,failure,brute_force,f6f2d304-09e4-4b4a-b7cb-08fcbaeb0ec7,3,1.0
2025-06-16T20:04:29.256094,brute_force_user_0,failure,brute_force,f6f2d304-09e4-4b4a-b7cb-08fcbaeb0ec7,4,0.0
2025-06-16T20:04:29.256094,brute_force_user_0,failure,brute_force,f6f2d304-09e4-4b4a-b7cb-08fcbaeb0ec7,5,0.0
2025-06-16T20:04:30.256094,brute_force_user_0,failure,brute_force,f6f2d304-09e4-4b4a-b7cb-08fcbaeb0ec7,6,1.0
2025-06-16T20:04:30.256094,brute_force_user_0,failure,brute_force,f6f2d304-09e4-4b4a-b7cb-08fcbaeb0ec7,7,0.0
2025-06-16T20:04:30.256094,brute_force_user_0,failure,brute_force,f6f2d304-09e4-4b4a-b7cb-08fcbaeb0ec7,8,0.0
2025-06-16T20:04:30.256094,brute_force_user_0,failure,brute_force,f6f2d304-09e4-4b4a-b7cb-08fcbaeb0ec7,9,0.0
2025-06-16T20:04:30.256094,brute_force_user_0,failure,brute_force,f6f2d304-09e4-4b4a-b7cb-08fcbaeb0ec7,10,0.0
2025-06-16T20:04:30.256094,brute_force_user_0,failure,brute_force,f6f2d304-09e4-4b4a-b7cb-08fcbaeb0ec7,11,0.0
2025-06-16T20:04:30.256094,brute_force_user_0,failure,brute_force,f6f2d304-09e4-4b4a-b7cb-08fcbaeb0ec7,12,0.0
2025-06-16T20:04:31.256094,brute_force_user_0,failure,brute_force,f6f2d304-09e4-4b4a-b7cb-08fcbaeb0ec7,13,1.0
2025-06-16T20:04:31.256094,brute_force_user_0,failure,brute_force,f6f2d304-09e4-4b4a-b7cb-08fcbaeb0ec7,14,0.0
2025-06-16T20:04:32.256094,brute_force_user_0,failure,brute_force,f6f2d304-09e4-4b4a-b7cb-08fcbaeb0ec7,15,1.0
2025-06-16T20:04:33.256094,brute_force_user_0,failure,brute_force,f6f2d304-09e4-4b4a-b7cb-08fcbaeb0ec7,16,1.0
2025-06-16T20:04:33.256094,brute_force_user_0,failure,brute_force,f6f2d304-09e4-4b4a-b7cb-08fcbaeb0ec7,17,0.0
2025-06-16T20:04:33.256094,brute_force_user_0,failure,brute_force,f6f2d304-09e4-4b4a-b7cb-08fcbaeb0ec7,18,0.0
2025-06-16T20:04:33.256094,brute_force_user_0,failure,brute_force,f6f2d304-09e4-4b4a-b7cb-08fcbaeb0ec7,19,0.0
2025-06-16T20:04:34.256094,brute_force_user_0,failure,brute_force,f6f2d304-09e4-4b4a-b7cb-08fcbaeb0ec7,20,1.0
2025-06-16T20:04:35.256094,brute_force_user_0,failure,brute_force,f6f2d304-09e4-4b4a-b7cb-08fcbaeb0ec7,21,1.0
2025-06-16T20:04:35.256094,brute_force_user_0,failure,brute_force,f6f2d304-09e4-4b4a-b7cb-08fcbaeb0ec7,22,0.0
2025-06-16T20:04:35.256094,brute_force_user_0,failure,brute_force,f6f2d304-09e4-4b4a-b7cb-08fcbaeb0ec7,23,0.0
2025-06-16T20:04:36.256094,brute_force_user_0,success,brute_force,f6f2d304-09e4-4b4a-b7cb-08fcbaeb0ec7,24,1.0
2025-06-16T20:04:27.256258,brute_force_user_1,failure,brute_force,8e4eb64d-683a-4eab-a192-3d2ddc6daae1,1,1.0
2025-06-16T20:04:28.256258,brute_force_user_1,failure,brute_force,8e4eb64d-683a-4eab-a192-3d2ddc6daae1,2,1.0
2025-06-16T20:04:29.256258,brute_force_user_1,failure,brute_force,8e4eb64d-683a-4eab-a192-3d2ddc6daae1,3,1.0
2025-06-16T20:04:30.256258,brute_force_user_1,failure,brute_force,8e4eb64d-683a-4eab-a192-3d2ddc6daae1,4,1.0
2025-06-16T20:04:31.256258,brute_force_user_1,failure,brute_force,8e4eb64d-683a-4eab-a192-3d2ddc6daae1,5,1.0
2025-06-16T20:04:31.256258,brute_force_user_1,failure,brute_force,8e4eb64d-683a-4eab-a192-3d2ddc6daae1,6,0.0
2025-06-16T20:04:31.256258,brute_force_user_1,failure,brute_force,8e4eb64d-683a-4eab-a192-3d2ddc6daae1,7,0.0
2025-06-16T20:04:32.256258,brute_force_user_1,failure,brute_force,8e4eb64d-683a-4eab-a192-3d2ddc6daae1,8,1.0
2025-06-16T20:04:32.256258,brute_force_user_1,failure,brute_force,8e4eb64d-683a-4eab-a192-3d2ddc6daae1,9,0.0
2025-06-16T20:04:33.256258,brute_force_user_1,failure,brute_force,8e4eb64d-683a-4eab-a192-3d2ddc6daae1,10,1.0
2025-06-16T20:04:34.256258,brute_force_user_1,failure,brute_force,8e4eb64d-683a-4eab-a192-3d2ddc6daae1,11,1.0
2025-06-16T20:04:35.256258,brute_force_user_1,failure,brute_force,8e4eb64d-683a-4eab-a192-3d2ddc6daae1,12,1.0
2025-06-16T20:04:36.256258,brute_force_user_1,failure,brute_force,8e4eb64d-683a-4eab-a192-3d2ddc6daae1,13,1.0
