timestamp,username,result,user_type,session_id,attempt_number,time_since_last,keystroke_vector,label
2025-06-28T02:22:19.465342,normal_user_202,failure,brute_force,9aa41e83-35cb-4dea-9270-b5ce1497dfa9,2,0.0,"[0.327, 0.225, 0.411, 0.309, 0.102, 0.283, 0.164, 0.385, 0.266, 0.119, 0.197, 0.106, 0.316, 0.225, 0.091, 0.315, 0.215, 0.406, 0.306, 0.1, 0.298, 0.193, 0.398, 0.293, 0.105, 1.237, 1.138, 1.342, 1.243, 0.099, 0.864, 0.757, 0.963, 0.856, 0.107, 0.197, 0.085, 0.304, 0.192, 0.112, 1.211, 1.136, 1.323, 1.248, 0.075, 4.854]",1
2025-06-28T02:22:19.465342,normal_user_89,failure,brute_force,9aa41e83-35cb-4dea-9270-b5ce1497dfa9,1,0.0,"[0.327, 0.225, 0.411, 0.309, 0.102, 0.283, 0.164, 0.385, 0.266, 0.119, 0.197, 0.106, 0.316, 0.225, 0.091, 0.315, 0.215, 0.406, 0.306, 0.1, 0.298, 0.193, 0.398, 0.293, 0.105, 1.237, 1.138, 1.342, 1.243, 0.099, 0.864, 0.757, 0.963, 0.856, 0.107, 0.197, 0.085, 0.304, 0.192, 0.112, 1.211, 1.136, 1.323, 1.248, 0.075, 4.854]",1
2025-06-28T02:22:19.465480,normal_user_163,failure,brute_force,074bb2d9-3489-424f-9cbe-974295197922,1,0.0,"[0.214, 0.112, 0.342, 0.24, 0.102, 0.328, 0.187, 0.43, 0.289, 0.141, 0.168, 0.09, 0.309, 0.231, 0.078, 0.377, 0.274, 0.455, 0.352, 0.103, 0.175, 0.017, 0.278, 0.12, 0.158, 0.241, 0.146, 0.399, 0.304, 0.095, 0.281, 0.145, 0.376, 0.24, 0.136, 0.543, 0.441, 0.679, 0.577, 0.102, 0.36, 0.201, 0.462, 0.303, 0.159, 2.528]",1
2025-06-28T02:22:19.465940,normal_user_34,failure,brute_force,8f4a3b82-fc41-4e64-a516-8db41a081e24,1,0.0,"[0.66, 0.495, 0.782, 0.617, 0.165, 0.663, 0.54, 0.828, 0.705, 0.123, 0.569, 0.329, 0.692, 0.452, 0.24, 0.069, -0.101, 0.309, 0.139, 0.17, 0.269, 0.141, 0.439, 0.311, 0.128, 0.172, 0.06, 0.3, 0.188, 0.112, 0.443, 0.337, 0.555, 0.449, 0.106, 0.193, 0.076, 0.299, 0.182, 0.117, 0.424, 0.285, 0.541, 0.402, 0.139, 3.323]",1
2025-06-28T02:22:19.466628,normal_user_65,failure,brute_force,8cb74901-19b3-454e-a3eb-377b5947fc28,1,0.0,"[0.456, 0.322, 0.547, 0.413, 0.134, 2.061, 1.96, 2.195, 2.094, 0.101, 1.212, 1.068, 1.313, 1.169, 0.144, 0.08, -0.032, 0.224, 0.112, 0.112, 1.268, 1.193, 1.38, 1.305, 0.075, 0.162, 0.076, 0.237, 0.151, 0.086, 1.334, 1.185, 1.42, 1.271, 0.149, 0.219, 0.117, 0.368, 0.266, 0.102, 0.201, 0.11, 0.303, 0.212, 0.091, 6.902]",1
2025-06-28T02:22:19.466628,normal_user_93,failure,brute_force,8cb74901-19b3-454e-a3eb-377b5947fc28,2,0.0,"[0.456, 0.322, 0.547, 0.413, 0.134, 2.061, 1.96, 2.195, 2.094, 0.101, 1.212, 1.068, 1.313, 1.169, 0.144, 0.08, -0.032, 0.224, 0.112, 0.112, 1.268, 1.193, 1.38, 1.305, 0.075, 0.162, 0.076, 0.237, 0.151, 0.086, 1.334, 1.185, 1.42, 1.271, 0.149, 0.219, 0.117, 0.368, 0.266, 0.102, 0.201, 0.11, 0.303, 0.212, 0.091, 6.902]",1
2025-06-28T02:22:19.466871,normal_user_53,failure,brute_force,b0493a13-1268-404c-9a56-2499a16a6b96,3,0.0,"[0.317, 0.253, 0.38, 0.316, 0.064, 0.266, 0.208, 0.33, 0.272, 0.058, 0.266, 0.212, 0.324, 0.27, 0.054, 0.234, 0.176, 0.288, 0.23, 0.058, 0.352, 0.288, 0.41, 0.346, 0.064, 0.148, 0.089, 0.212, 0.153, 0.059, 0.222, 0.164, 0.281, 0.223, 0.058, 0.255, 0.194, 0.313, 0.252, 0.061, 0.251, 0.194, 0.312, 0.255, 0.057, 2.254]",1
2025-06-28T02:22:19.466871,normal_user_185,failure,brute_force,b0493a13-1268-404c-9a56-2499a16a6b96,1,0.0,"[0.317, 0.253, 0.38, 0.316, 0.064, 0.266, 0.208, 0.33, 0.272, 0.058, 0.266, 0.212, 0.324, 0.27, 0.054, 0.234, 0.176, 0.288, 0.23, 0.058, 0.352, 0.288, 0.41, 0.346, 0.064, 0.148, 0.089, 0.212, 0.153, 0.059, 0.222, 0.164, 0.281, 0.223, 0.058, 0.255, 0.194, 0.313, 0.252, 0.061, 0.251, 0.194, 0.312, 0.255, 0.057, 2.254]",1
2025-06-28T02:22:19.466871,normal_user_10,failure,brute_force,b0493a13-1268-404c-9a56-2499a16a6b96,2,0.0,"[0.317, 0.253, 0.38, 0.316, 0.064, 0.266, 0.208, 0.33, 0.272, 0.058, 0.266, 0.212, 0.324, 0.27, 0.054, 0.234, 0.176, 0.288, 0.23, 0.058, 0.352, 0.288, 0.41, 0.346, 0.064, 0.148, 0.089, 0.212, 0.153, 0.059, 0.222, 0.164, 0.281, 0.223, 0.058, 0.255, 0.194, 0.313, 0.252, 0.061, 0.251, 0.194, 0.312, 0.255, 0.057, 2.254]",1
2025-06-28T02:22:19.467024,normal_user_148,failure,brute_force,2979490c-d2a1-4a47-ae5b-10a191d31f7e,6,0.0,"[0.128, 0.066, 0.221, 0.159, 0.062, 0.176, 0.11, 0.238, 0.172, 0.066, 0.214, 0.09, 0.28, 0.156, 0.124, 0.103, -0.029, 0.227, 0.095, 0.132, 0.148, 0.064, 0.28, 0.196, 0.084, 0.277, 0.212, 0.361, 0.296, 0.065, 0.141, 0.073, 0.206, 0.138, 0.068, 0.116, 0.049, 0.184, 0.117, 0.067, 0.197, 0.136, 0.264, 0.203, 0.061, 1.439]",1
